year,scenario,region,mean
2015,ssp126,Global,-0.4917348985484216
2016,ssp126,Global,-0.4249885292369218
2017,ssp126,Global,-0.25053983053737133
2018,ssp126,Global,-0.44287188421490586
2019,ssp126,Global,-0.34451362424128856
2020,ssp126,Global,-0.13820379356502083
2021,ssp126,Global,-0.00583746332910045
2022,ssp126,Global,-0.218873814133672
2023,ssp126,Global,-0.28359209886089753
2024,ssp126,Global,-0.21951620260076077
2025,ssp126,Global,-0.032798605520396706
2026,ssp126,Global,-0.053532538274958234
2027,ssp126,Global,-0.2000101576150126
2028,ssp126,Global,-0.13867706877153638
2029,ssp126,Global,0.03432854007554068
2030,ssp126,Global,0.003143653861148531
2031,ssp126,Global,-0.004934321281524704
2032,ssp126,Global,-0.10483523113615927
2033,ssp126,Global,0.08871706346077077
2034,ssp126,Global,0.1035646880697509
2035,ssp126,Global,-0.09443477448305454
2036,ssp126,Global,-0.03141090241398229
2037,ssp126,Global,0.10965770554591764
2038,ssp126,Global,-0.012775694516431442
2039,ssp126,Global,-0.019688983962554196
2040,ssp126,Global,-0.06869210438086185
2041,ssp126,Global,0.14313481605069925
2042,ssp126,Global,0.12670642024442053
2043,ssp126,Global,0.13631233976695878
2044,ssp126,Global,-0.022736029257662698
2045,ssp126,Global,0.07313020696986006
2046,ssp126,Global,0.19598807935215254
2047,ssp126,Global,0.09045742360309865
2048,ssp126,Global,0.06307036183235955
2049,ssp126,Global,0.2125395062420619
2050,ssp126,Global,0.11888512924679075
2051,ssp126,Global,0.12987951422411173
2052,ssp126,Global,0.1300856892151758
2053,ssp126,Global,0.057512029672253516
2054,ssp126,Global,0.17803009119027136
2055,ssp126,Global,0.2869162082433236
2056,ssp126,Global,0.22748257579517747
2057,ssp126,Global,0.11728661971548798
2058,ssp126,Global,-0.005646714510773538
2059,ssp126,Global,0.07813020778974845
2060,ssp126,Global,0.2396624948858059
2061,ssp126,Global,0.2947779263151607
2062,ssp126,Global,0.17484811549098797
2063,ssp126,Global,0.10371028668825924
2064,ssp126,Global,0.09288734197490786
2065,ssp126,Global,0.13266895801469455
2066,ssp126,Global,0.2958449711099423
2067,ssp126,Global,0.17039511247544148
2068,ssp126,Global,0.2859155279294447
2069,ssp126,Global,0.3151175384846917
2070,ssp126,Global,0.21296059056947614
2071,ssp126,Global,0.13762715508077278
2072,ssp126,Global,0.16270536221775908
2073,ssp126,Global,0.08014684558298939
2074,ssp126,Global,0.12103277223163604
2075,ssp126,Global,0.06272516620721276
2076,ssp126,Global,-0.04738352472858735
2077,ssp126,Global,0.24015894765696824
2078,ssp126,Global,0.38682073143962087
2079,ssp126,Global,0.14660540892721527
2080,ssp126,Global,0.2480308034530506
2081,ssp126,Global,0.13203582750385862
2082,ssp126,Global,0.37689883775810734
2083,ssp126,Global,0.2157094872477562
2084,ssp126,Global,-0.0039126047008055985
2085,ssp126,Global,0.08552737363500715
2086,ssp126,Global,0.28213099378985923
2087,ssp126,Global,0.15451606613903784
2088,ssp126,Global,0.16471998715882913
2089,ssp126,Global,0.20004878220804717
2090,ssp126,Global,0.20243763566550346
2091,ssp126,Global,0.1305882995238303
2092,ssp126,Global,0.16773039320249808
2093,ssp126,Global,0.13401805891400534
2094,ssp126,Global,0.03521752490329985
2095,ssp126,Global,-0.10013084195246766
2096,ssp126,Global,-0.04268614667147515
2097,ssp126,Global,0.22459713167341447
2098,ssp126,Global,0.08458843962197368
2099,ssp126,Global,0.10473877893142189
2100,ssp126,Global,0.10359514560858392
2015,ssp245,Global,-0.6656408273635465
2016,ssp245,Global,-0.48224759950089413
2017,ssp245,Global,-0.316133036059791
2018,ssp245,Global,-0.23555303223241178
2019,ssp245,Global,-0.24967357032494136
2020,ssp245,Global,-0.5013699324733719
2021,ssp245,Global,-0.43833109145068694
2022,ssp245,Global,-0.24846284931860382
2023,ssp245,Global,-0.15962609553533488
2024,ssp245,Global,-0.24108687782827787
2025,ssp245,Global,-0.24178497328907483
2026,ssp245,Global,-0.125916969587035
2027,ssp245,Global,-0.2175016966201583
2028,ssp245,Global,-0.23859471468696236
2029,ssp245,Global,-0.23551580761973634
2030,ssp245,Global,-0.07796510923301907
2031,ssp245,Global,-0.17714090942945362
2032,ssp245,Global,-0.14843397563689106
2033,ssp245,Global,-0.2701642807779311
2034,ssp245,Global,-0.17766654535989984
2035,ssp245,Global,-0.037771698251617955
2036,ssp245,Global,-0.0031341309636003555
2037,ssp245,Global,0.05856416734185656
2038,ssp245,Global,0.025169996627973992
2039,ssp245,Global,-0.01961676584429644
2040,ssp245,Global,-0.07047739792125299
2041,ssp245,Global,-0.029008671826921444
